compose						组成，创作，构思，整理
domestic						国内的，家里的
victory									胜利
deceit						欺诈
homogeneous					同种族的
voluntary					自愿的，无偿的，随意的
dissolve					使溶解，解除，破灭，解散
light							光亮，角度，灯，轻的
parachute					降落伞
conclusion							结尾，结论
eject					喷射，驱逐，弹出
nightmare				噩梦
valid					有效的，合理的
elevate			抬起，提高，提升
select				挑选，精选的
revenge						报复，报仇
handicap			残障，障碍
evaporate					蒸发，消失
financial							金融的
remember							记得，纪念
predict						预言
waterproof			防水的
productivity			生产率
finally			最后，终于，彻底
subtract			减去
direct						直接的，指示
monetary			货币的
approve						批准，赞成
economical			经济的，节俭的，简洁的
bankrupt							破产的，完全缺乏的
\\\\
