inspiration					灵感，妙计
doubtless					很可能的，无疑的
version						说法，变体，版本
slack						松垂的，懒散的，松懈的，萧条的
correlate			相关联
subside				减弱，塌陷，坐下
donation						捐赠物
feel								触摸，感觉到，意识到，认为，气氛，天赋
piracy			劫持，盗版
oscillate		摆动，震荡
norm				基准，规范
trample				踩，侵犯
compliment			赞扬，致意
compliments			称赞之词，问候
genuine						真的，真诚的
fancy								想要，想象，高级的
augment			增加
smart					漂亮的，时尚的，聪明的，引起剧痛
gaudy			俗艳的，花哨的
generalize					概括，普及
carpenter								木匠
sincere			真诚的，忠实的
glimmer			闪烁的微光
a glimmer of hope		一丝希望
muster			集合，鼓起
gene							基因
devastating			毁灭性的，令人震惊的，令人倾倒的
decree			法令，裁定，颁布
reservoir		水库，储备
jeopardize					危及
sterilize		给...消毒，使...绝育
deadlock			僵局
\\\\\\\\
