represent					相当于，代表，占据，声称
dissipate					驱散，消除，浪费
intersection				交点，十字路口
complement						补充的东西，足额，补充
vacuum						真空，空白，吸尘
personal							个人的，外表的，亲自的
sulphur				硫磺
stride				大步，步态，阔步行走，跨越
linen					亚麻布，日用织品
grip						抓牢，控制
sake					目的，利益
piety					虔诚
concern								担心，私事，公司，与...有关
intuition				直觉
troupe				剧团
panel					嵌板，控制板，专家咨询组
ascent				上升，提高
anthem				颂歌
traverse				穿过，横穿，穿越
qualify						使具有资格，限定，修饰，有权
manifold				多种多样的
oriental				东方的
fracture				骨折，裂缝，断裂
snap					啪的一声，猛咬，快照，容易的事，劲头，仓促的
capture						占领，刻画，俘获
kidney				肾
disaster						灾难，失败
customary				惯常的，遵照习俗的
tentative				暂定的，犹豫不决的
figure							数字，人物，身材，插图，合乎情理，认为
\\\\\\\\
