granary				粮仓
psychology			心理学
slaughter				屠宰，屠杀
ingredient					原料，因素
refugee				难民
signify						表示，要紧
convert							转变，换算
extract						取出，获得，摘录
invisible					看不见的，隐藏的
contrive					设法促成，出乎意料的做到
descend					走下，递减，突袭，起源，是后裔
perturb					使不安
instantaneous				瞬间发生的
terrace					露台，排屋，梯田
permissible				许可的
allegiance				忠诚
plaster					石膏，厚厚的涂抹，使紧贴，张贴
practically				几乎，实事求是的
infirmary					医院，医务室
distil					用蒸馏法提取，提炼
unanimous					意见一致的
scissors							用剪刀剪
accelerate								加速
disable					使...伤残，使无资格
lapse					小错，行为失检，时间间隔，背弃，衰退
antique							古董
crease					褶痕，皱纹，起皱
evolution						进化，演变
sow							母猪，播撒，散布
prodigious				庞大的，惊人的
\\\\\\\\
